Element,Wavelength,Z number,1s,2s,2p,3s,3p,3d,4s,4p,4d,4f,5s,5p,5d,6s,6p,Multiplicity,Term,Parity,J,E lower,1s,2s,2p,3s,3p,3d,4s,4p,4d,4f,5s,5p,5d,6s,6p,6d,7s,7p,7d,8s,8p,8d,9s,10s,Multiplicity,Term,Parity,J,E upper,T,w (A),d (A),
C,146.788,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,D,1,2,10192.657,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,D,0,3,78318.26602,12500,0.154,,
C,146.841,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,D,1,2,10192.657,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,D,0,1,78293.51263,12500,0.154,,
C,146.74,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,D,1,2,10192.657,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P,0,1,78340.29782,12500,0.14,,
C,146.334,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,D,1,2,10192.657,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,F,0,3,78529.64651,12500,0.099,,
C,145.903,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,D,1,2,10192.657,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P,0,1,78731.2956,12500,0.119,,
C,175.183,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,S,1,0,21648.03,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P,0,1,78731.2956,12500,0.178,,
C,538.034,6,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,P,0,1,61981.83211,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P,1,1,80562.8855,9900,2.636363636,,
C,538.034,6,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,P,0,1,61981.83211,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P,1,1,80562.8855,10300,2.701754386,,
C,538.034,6,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,P,0,1,61981.83211,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P,1,1,80562.8855,15150,2.355191257,,
C,505.217,6,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,P,0,1,61981.83211,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,D,1,2,81769.78089,9320,,2.042253521,
C,505.217,6,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,P,0,1,61981.83211,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,D,1,2,81769.78089,9670,3.621621622,2,
C,505.217,6,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,P,0,1,61981.83211,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,D,1,2,81769.78089,9870,3.674418605,2,
C,505.217,6,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,P,0,1,61981.83211,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,D,1,2,81769.78089,9890,3.681818182,1.954545455,
C,505.217,6,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,P,0,1,61981.83211,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,D,1,2,81769.78089,10110,3.647058824,1.921568627,
C,505.217,6,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,P,0,1,61981.83211,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,D,1,2,81769.78089,10280,3.719298246,1.929824561,
C,505.217,6,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,P,0,1,61981.83211,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,D,1,2,81769.78089,10310,3.655172414,1.931034483,
C,505.217,6,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,P,0,1,61981.83211,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,D,1,2,81769.78089,15150,3.201086957,,
C,493.205,6,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,P,0,1,61981.83211,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,1,0,82251.82041,9890,4.772727273,2.681818182,
C,493.205,6,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,P,0,1,61981.83211,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,1,0,82251.82041,10280,4.736842105,2.526315789,
C,493.205,6,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,P,0,1,61981.83211,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,1,0,82251.82041,15150,4.510752688,,
Cl,449.103,17,2,2,6,2,4,0,1,0,0,0,0,0,0,0,0,2,P,1,1.5,74225.846,2,2,6,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,D,0,1.5,96486.198,9800,0.793650794,,
